UEFA CHAMPIONS LEAGUE COMPREHENSIVE STATISTICS (2022-2025)

SECTION 1: 2024-25 SEASON - LEAGUE PHASE STANDINGS (TOP 20)
Rank,Team,Matches,Wins,Draws,Losses,GF,GA,GD,Points,Notes
1,Liverpool,8,7,0,1,17,5,12,21,Round of 16
2,Barcelona,8,6,1,1,28,13,15,19,Round of 16
3,Arsenal,8,6,1,1,16,3,13,19,Round of 16
4,Inter,8,6,1,1,11,1,10,19,Round of 16
5,Atletico Madrid,8,6,0,2,20,12,8,18,Round of 16
6,Bayer Leverkusen,8,5,1,2,15,7,8,16,Round of 16
7,Lille,8,5,1,2,17,10,7,16,Round of 16
8,Aston Villa,8,5,1,2,13,6,7,16,Round of 16
9,Atalanta,8,4,3,1,20,6,14,15,Round of 16
10,Borussia Dortmund,8,5,0,3,22,12,10,15,Round of 16
11,Real Madrid,8,5,0,3,20,12,8,15,Round of 16
12,Bayern Munich,8,5,0,3,20,12,8,15,Round of 16
13,AC Milan,8,5,0,3,14,11,3,15,Round of 16
14,PSV Eindhoven,8,4,2,2,16,12,4,14,Knockout phase play-offs
15,Paris Saint-Germain,8,4,1,3,14,9,5,13,Knockout phase play-offs
16,Benfica,8,4,1,3,16,12,4,13,Knockout phase play-offs
17,Monaco,8,4,1,3,13,13,0,13,Knockout phase play-offs
18,Brest,8,4,1,3,10,11,-1,13,Knockout phase play-offs
19,Feyenoord,8,4,1,3,18,21,-3,13,Knockout phase play-offs
20,Juventus,8,3,3,2,9,7,2,12,Knockout phase play-offs

SECTION 2: 2023-24 SEASON - GROUP STAGE & KNOCKOUT STANDINGS (TOP 20)
Rank,Team,Matches,Wins,Draws,Losses,GF,GA,GD,Points,Notes
1,Real Madrid,12,9,1,2,27,13,14,28,Winners
2,Bayern Munich,10,8,1,1,22,6,16,25,Semi-finals
3,Borussia Dortmund,10,6,2,2,15,9,6,20,Finalists
4,Paris Saint-Germain,10,5,2,3,19,14,5,17,Semi-finals
5,Manchester City,8,6,0,2,18,7,11,18,Quarter-finals
6,Arsenal,8,4,1,3,16,4,12,13,Quarter-finals
7,Atletico Madrid,8,4,2,2,17,6,11,14,Quarter-finals
8,Barcelona,8,4,0,4,12,6,6,12,Quarter-finals
9,Inter,8,3,3,2,8,5,3,12,Round of 16
10,RB Leipzig,8,4,0,4,13,10,3,12,Round of 16
11,Napoli,8,3,1,4,10,9,1,10,Round of 16
12,PSV Eindhoven,8,2,3,3,8,10,-2,9,Round of 16
13,Lazio,8,3,1,4,7,7,0,10,Round of 16
14,Copenhagen,8,2,2,4,8,8,0,8,Round of 16
15,Porto,8,4,0,4,15,8,7,12,Round of 16
16,Real Sociedad,8,3,3,2,7,2,5,12,Round of 16
17,AC Milan,8,3,1,4,12,7,5,10,Round of 16
18,Galatasaray,6,1,2,3,10,13,-3,5,Group Stage
19,Newcastle United,6,1,2,3,6,7,-1,5,Group Stage
20,Manchester United,6,1,1,4,12,15,-3,4,Group Stage

SECTION 3: 2022-23 SEASON - GROUP STAGE & KNOCKOUT STANDINGS (TOP 20)
Rank,Team,Matches,Wins,Draws,Losses,GF,GA,GD,Points,Notes
1,Manchester City,13,8,5,0,32,5,27,29,Winners
2,Inter,13,7,3,3,19,11,8,24,Finalists
3,Real Madrid,12,8,2,2,26,13,13,26,Semi-finals
4,AC Milan,12,5,3,4,15,11,4,18,Semi-finals
5,Bayern Munich,10,8,1,1,22,6,16,25,Quarter-finals
6,Napoli,10,7,1,2,26,8,18,22,Quarter-finals
7,Benfica,10,6,3,1,26,13,13,21,Quarter-finals
8,Chelsea,10,5,1,4,12,9,3,16,Quarter-finals
9,Liverpool,8,5,0,3,19,12,7,15,Round of 16
10,Paris Saint-Germain,8,4,2,2,16,10,6,14,Round of 16
11,Porto,8,4,1,3,12,8,4,13,Round of 16
12,RB Leipzig,8,4,1,3,14,17,-3,13,Round of 16
13,Borussia Dortmund,8,3,3,2,11,7,4,12,Round of 16
14,Tottenham,8,3,3,2,8,7,1,12,Round of 16
15,Club Brugge,8,3,2,3,8,11,-3,11,Round of 16
16,Eintracht Frankfurt,8,3,1,4,7,13,-6,10,Round of 16
17,Barcelona,6,2,1,3,12,12,0,7,Group Stage
18,Atletico Madrid,6,1,2,3,5,9,-4,5,Group Stage
19,Ajax,6,2,0,4,11,16,-5,6,Group Stage
20,Juventus,6,1,0,5,9,13,-4,3,Group Stage

SECTION 4: 2024-25 SEASON - ALL LEAGUE PHASE MATCH RESULTS
Matchday,Date,Home Team,Away Team,Score,Winner
1,2024-09-17,Young Boys,Aston Villa,'0-3,Aston Villa
1,2024-09-17,Juventus,PSV Eindhoven,'3-1,Juventus
1,2024-09-17,AC Milan,Liverpool,'1-3,Liverpool
1,2024-09-17,Bayern Munich,Dinamo Zagreb,'9-2,Bayern Munich
1,2024-09-17,Real Madrid,VfB Stuttgart,'3-1,Real Madrid
1,2024-09-17,Sporting CP,Lille,'2-0,Sporting CP
1,2024-09-18,Sparta Prague,RB Salzburg,'3-0,Sparta Prague
1,2024-09-18,Bologna,Shakhtar Donetsk,'0-0,Draw
1,2024-09-18,Celtic,Slovan Bratislava,'5-1,Celtic
1,2024-09-18,Club Brugge,Borussia Dortmund,'0-3,Borussia Dortmund
1,2024-09-18,Manchester City,Inter,'0-0,Draw
1,2024-09-18,Paris Saint-Germain,Girona,'1-0,Paris Saint-Germain
1,2024-09-19,Feyenoord,Bayer Leverkusen,'0-4,Bayer Leverkusen
1,2024-09-19,Red Star Belgrade,Benfica,'1-2,Benfica
1,2024-09-19,Monaco,Barcelona,'2-1,Monaco
1,2024-09-19,Atalanta,Arsenal,'0-0,Draw
1,2024-09-19,Atletico Madrid,RB Leipzig,'2-1,Atletico Madrid
1,2024-09-19,Brest,Sturm Graz,'2-1,Brest
2,2024-10-01,RB Salzburg,Brest,'0-4,Brest
2,2024-10-01,VfB Stuttgart,Sparta Prague,'1-1,Draw
2,2024-10-01,Arsenal,Paris Saint-Germain,'2-0,Arsenal
2,2024-10-01,Bayer Leverkusen,AC Milan,'1-0,Bayer Leverkusen
2,2024-10-01,Borussia Dortmund,Celtic,'7-1,Borussia Dortmund
2,2024-10-01,Barcelona,Young Boys,'5-0,Barcelona
2,2024-10-01,Inter,Red Star Belgrade,'4-0,Inter
2,2024-10-01,PSV Eindhoven,Sporting CP,'1-1,Draw
2,2024-10-01,Slovan Bratislava,Manchester City,'0-4,Manchester City
2,2024-10-02,Shakhtar Donetsk,Atalanta,'0-3,Atalanta
2,2024-10-02,Girona,Feyenoord,'2-3,Feyenoord
2,2024-10-02,Aston Villa,Bayern Munich,'1-0,Aston Villa
2,2024-10-02,Dinamo Zagreb,Monaco,'2-2,Draw
2,2024-10-02,Liverpool,Bologna,'2-0,Liverpool
2,2024-10-02,Lille,Real Madrid,'1-0,Lille
2,2024-10-02,RB Leipzig,Juventus,'2-3,Juventus
2,2024-10-02,Sturm Graz,Club Brugge,'0-1,Club Brugge
2,2024-10-02,Benfica,Atletico Madrid,'4-0,Benfica
3,2024-10-22,AC Milan,Club Brugge,'3-1,AC Milan
3,2024-10-22,Monaco,Red Star Belgrade,'5-1,Monaco
3,2024-10-22,Arsenal,Shakhtar Donetsk,'1-0,Arsenal
3,2024-10-22,Aston Villa,Bologna,'2-0,Aston Villa
3,2024-10-22,Girona,Slovan Bratislava,'2-0,Girona
3,2024-10-22,Juventus,VfB Stuttgart,'0-1,VfB Stuttgart
3,2024-10-22,Paris Saint-Germain,PSV Eindhoven,'1-1,Draw
3,2024-10-22,Real Madrid,Borussia Dortmund,'5-2,Real Madrid
3,2024-10-22,Sturm Graz,Sporting CP,'0-2,Sporting CP
3,2024-10-23,Atalanta,Celtic,'0-0,Draw
3,2024-10-23,Brest,Bayer Leverkusen,'1-1,Draw
3,2024-10-23,Atletico Madrid,Lille,'1-3,Lille
3,2024-10-23,Young Boys,Inter,'0-1,Inter
3,2024-10-23,Barcelona,Bayern Munich,'4-1,Barcelona
3,2024-10-23,RB Salzburg,Dinamo Zagreb,'0-2,Dinamo Zagreb
3,2024-10-23,Manchester City,Sparta Prague,'5-0,Manchester City
3,2024-10-23,RB Leipzig,Liverpool,'0-1,Liverpool
3,2024-10-23,Benfica,Feyenoord,'1-3,Feyenoord
4,2024-11-05,PSV Eindhoven,Girona,'4-0,PSV Eindhoven
4,2024-11-05,Slovan Bratislava,Dinamo Zagreb,'1-4,Dinamo Zagreb
4,2024-11-05,Bologna,Monaco,'0-1,Monaco
4,2024-11-05,Borussia Dortmund,Sturm Graz,'1-0,Borussia Dortmund
4,2024-11-05,Celtic,RB Leipzig,'3-1,Celtic
4,2024-11-05,Liverpool,Bayer Leverkusen,'4-0,Liverpool
4,2024-11-05,Lille,Juventus,'1-1,Draw
4,2024-11-05,Real Madrid,AC Milan,'1-3,AC Milan
4,2024-11-05,Sporting CP,Manchester City,'4-1,Sporting CP
4,2024-11-06,Club Brugge,Aston Villa,'1-0,Club Brugge
4,2024-11-06,Shakhtar Donetsk,Young Boys,'2-1,Shakhtar Donetsk
