Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Notes,PPM,GF_per_match,GA_per_match,GD_per_match,Strength
1,Arsenal,8,8,0,0,23,4,19,24,Round of 16,3.0,2.875,0.5,2.375,2.4375000000000004
2,Bayern Munich,8,7,0,1,22,8,14,21,Round of 16,2.625,2.75,1.0,1.75,2.025
3,Liverpool,8,6,0,2,20,8,12,18,Round of 16,2.25,2.5,1.0,1.5,1.75
4,Tottenham Hotspur,8,5,2,1,17,7,10,17,Round of 16,2.125,2.125,0.875,1.25,1.5625000000000002
5,Barcelona,8,5,1,2,22,14,8,16,Round of 16,2.0,2.75,1.75,1.0,1.475
6,Chelsea,8,5,1,2,17,10,7,16,Round of 16,2.0,2.125,1.25,0.875,1.3625
7,Sporting CP,8,5,1,2,17,11,6,16,Round of 16,2.0,2.125,1.375,0.75,1.3125
8,Manchester City,8,5,1,2,15,9,6,16,Round of 16,2.0,1.875,1.125,0.75,1.2874999999999999
9,Real Madrid,8,5,0,3,21,12,9,15,Knockout phase play-offs,1.875,2.625,1.5,1.125,1.4625
10,Inter,8,5,0,3,15,7,8,15,Knockout phase play-offs,1.875,1.875,0.875,1.0,1.3375000000000001
11,Paris Saint-Germain,8,4,2,2,21,11,10,14,Knockout phase play-offs,1.75,2.625,1.375,1.25,1.4625000000000001
12,Newcastle United,8,4,2,2,17,7,10,14,Knockout phase play-offs,1.75,2.125,0.875,1.25,1.4125000000000003
13,Juventus,8,3,4,1,14,10,4,13,Knockout phase play-offs,1.625,1.75,1.25,0.5,1.0250000000000001
14,Atletico Madrid,8,4,1,3,17,15,2,13,Knockout phase play-offs,1.625,2.125,1.875,0.25,0.9624999999999999
15,Atalanta,8,4,1,3,10,10,0,13,Knockout phase play-offs,1.625,1.25,1.25,0.0,0.775
16,Leverkusen,8,3,3,2,13,14,-1,12,Knockout phase play-offs,1.5,1.625,1.75,-0.125,0.7125000000000001
17,Dortmund,8,3,2,3,19,17,2,11,Knockout phase play-offs,1.375,2.375,2.125,0.25,0.8875000000000001
18,Olympiacos,8,3,2,3,10,14,-4,11,Knockout phase play-offs,1.375,1.25,1.75,-0.5,0.475
19,Club Brugge,8,3,1,4,15,17,-2,10,Knockout phase play-offs,1.25,1.875,2.125,-0.25,0.5875
20,Galatasaray,8,3,1,4,9,11,-2,10,Knockout phase play-offs,1.25,1.125,1.375,-0.25,0.5125
21,Monaco,8,2,4,2,8,14,-6,10,Knockout phase play-offs,1.25,1.0,1.75,-0.75,0.30000000000000004
22,Qarabag,8,3,1,4,13,21,-8,10,Knockout phase play-offs,1.25,1.625,2.625,-1.0,0.2625
23,Bodo¸/Glimt,8,2,3,3,14,15,-1,9,Knockout phase play-offs,1.125,1.75,1.875,-0.125,0.5750000000000001
24,Benfica,8,3,0,5,10,12,-2,9,Knockout phase play-offs,1.125,1.25,1.5,-0.25,0.475
25,Marseille,8,3,0,5,11,14,-3,9,,1.125,1.375,1.75,-0.375,0.4375
26,Pafos FC,8,2,3,3,8,11,-3,9,,1.125,1.0,1.375,-0.375,0.4000000000000001
27,Union SG,8,3,0,5,8,17,-9,9,,1.125,1.0,2.125,-1.125,0.10000000000000003
28,PSV,8,2,2,4,16,16,0,8,,1.0,2.0,2.0,0.0,0.6000000000000001
29,Athletic Club,8,2,2,4,9,14,-5,8,,1.0,1.125,1.75,-0.625,0.26249999999999996
30,Napoli,8,2,2,4,9,15,-6,8,,1.0,1.125,1.875,-0.75,0.21250000000000002
31,FC Copenhagen,8,2,2,4,12,21,-9,8,,1.0,1.5,2.625,-1.125,0.10000000000000009
32,Ajax,8,2,0,6,8,21,-13,6,,0.75,1.0,2.625,-1.625,-0.24999999999999994
33,Eintracht Frankfurt,8,1,1,6,10,21,-11,4,,0.5,1.25,2.625,-1.375,-0.22499999999999998
34,Slavia Prague,8,0,3,5,5,19,-14,3,,0.375,0.625,2.375,-1.75,-0.48750000000000004
35,Villarreal,8,0,1,7,5,18,-13,1,,0.125,0.625,2.25,-1.625,-0.5375
36,FC Kairat,8,0,1,7,7,22,-15,1,,0.125,0.875,2.75,-1.875,-0.6124999999999999
